example_id,source,split,model_name,task,train_loss,validation_loss,train_metric,validation_metric,learning_rate,epochs,additional_information,diagnosis,evidence,next_experiment
synthetic_v3_insufficient_evidence_031,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.411, 1.156, 0.925, 0.724, 0.56, 0.46]",[],"[0.449, 0.557, 0.654, 0.739, 0.808, 0.85]",[],0.001,"[1, 2, 3, 4, 5, 6]",Validation loss and validation metric were not recorded.,insufficient_evidence,"Validation loss and validation metric are missing, so generalization cannot be compared with training performance.",Run the experiment again with validation loss and validation metric logging enabled.
synthetic_v3_learning_rate_too_high_024,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.782, 2.839, 1.336, 1.924, 1.401, 2.137, 1.07, 3.388]","[0.913, 3.038, 1.525, 2.11, 1.517, 2.322, 1.255, 3.479]","[0.504, 0.215, 0.55, 0.317, 0.458, 0.313, 0.559, 0.336]","[0.481, 0.202, 0.537, 0.301, 0.446, 0.285, 0.533, 0.313]",0.052,"[1, 2, 3, 4, 5, 6, 7, 8]",Metrics were recorded once at the end of every epoch.,learning_rate_too_high,"Training loss repeatedly jumped from 0.782 at epoch 1 to 2.839 at epoch 2 and from 1.336 at epoch 3 to 1.924 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_data_leakage_suspected_048,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.42, 0.313, 0.216, 0.131, 0.062, 0.02]","[0.38, 0.288, 0.204, 0.131, 0.072, 0.036]","[0.84, 0.881, 0.919, 0.952, 0.978, 0.994]","[0.88, 0.912, 0.94, 0.965, 0.985, 0.998]",0.001,"[1, 2, 3, 4, 5, 6]",A split audit found 270 identical samples in both the training and validation sets. Accuracy on a deduplicated holdout was 0.68.,data_leakage_suspected,"The split audit found 270 exact duplicates shared by the training and validation sets. Validation metric was 0.998, but the deduplicated holdout metric was 0.680.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
synthetic_v3_overfitting_019,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.424, 1.224, 1.033, 0.854, 0.685, 0.53, 0.39, 0.267, 0.168, 0.107]","[1.508, 1.276, 1.062, 0.868, 0.699, 0.562, 0.478, 0.708, 0.926, 1.117]","[0.491, 0.561, 0.627, 0.69, 0.749, 0.803, 0.852, 0.895, 0.93, 0.951]","[0.481, 0.55, 0.614, 0.671, 0.722, 0.763, 0.787, 0.743, 0.701, 0.665]",0.002623,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",A second seed showed the same late divergence between the two splits.,overfitting,"Validation performance was best at epoch 7 and became worse afterward, even though training loss kept falling to 0.107.",Use epoch 7 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_data_leakage_suspected_040,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[0.42, 0.323, 0.236, 0.16, 0.098, 0.06]","[0.38, 0.286, 0.201, 0.127, 0.067, 0.03]","[0.84, 0.878, 0.913, 0.944, 0.968, 0.983]","[0.88, 0.91, 0.938, 0.962, 0.981, 0.993]",0.001,"[1, 2, 3, 4, 5, 6]",Augmentation was applied before splitting and created 140 near-identical image pairs across training and validation.,data_leakage_suspected,The audit found 140 near-duplicate augmented images shared between the training and validation splits.,"Rebuild the splits around independent groups, then rerun preprocessing and training."
synthetic_v3_learning_rate_too_low_017,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.437, 1.431, 1.425, 1.419, 1.413, 1.407, 1.401, 1.395, 1.389, 1.383, 1.377, 1.371]","[1.497, 1.492, 1.486, 1.481, 1.476, 1.471, 1.466, 1.461, 1.456, 1.451, 1.446, 1.441]","[0.33, 0.333, 0.336, 0.339, 0.342, 0.345, 0.349, 0.352, 0.355, 0.358, 0.361, 0.364]","[0.32, 0.322, 0.323, 0.325, 0.327, 0.328, 0.33, 0.331, 0.333, 0.334, 0.336, 0.338]",9.2e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",The available epoch budget ended before the model reached a useful result.,learning_rate_too_low,"Despite 12 stable epochs, training loss only moved from 1.437 to 1.371, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
synthetic_v3_insufficient_evidence_025,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,[1.364],[1.419],[0.592],[0.573],0.001,[1],Only one epoch was recorded.,insufficient_evidence,"Only one epoch is available, so no training or validation trend can be established.",Continue training for more epochs and record both training and validation metrics.
synthetic_v3_underfitting_040,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[2.295, 2.088, 1.915, 1.773, 1.661, 1.576, 1.516, 1.479, 1.46, 1.456]","[2.358, 2.148, 1.971, 1.827, 1.712, 1.626, 1.565, 1.527, 1.508, 1.504]","[0.348, 0.374, 0.395, 0.413, 0.427, 0.438, 0.445, 0.45, 0.452, 0.453]","[0.341, 0.36, 0.377, 0.39, 0.4, 0.408, 0.414, 0.417, 0.419, 0.42]",0.002664,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",The run completed without hardware or logging errors.,underfitting,"Both splits reached a weak plateau. Training and validation losses ended close together at 1.456 and 1.504, and neither metric exceeded 0.453.","Increase the training budget first, then try a model with more capacity if the plateau remains."
synthetic_v3_healthy_025,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.343, 1.167, 0.999, 0.841, 0.693, 0.556, 0.432, 0.325, 0.237, 0.183]","[1.433, 1.251, 1.077, 0.913, 0.759, 0.617, 0.489, 0.377, 0.286, 0.231]","[0.413, 0.495, 0.573, 0.647, 0.716, 0.779, 0.837, 0.887, 0.928, 0.953]","[0.411, 0.489, 0.563, 0.633, 0.699, 0.76, 0.814, 0.862, 0.901, 0.925]",0.002996,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Validation had one small wobble before returning to its improving trend.,healthy,"Both splits improved over 10 epochs. Final losses were 0.183 for training and 0.231 for validation, with final metrics of 0.953 and 0.925.",Run the same configuration with a second seed and compare the final metrics.
synthetic_v3_healthy_021,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.741, 1.523, 1.313, 1.114, 0.927, 0.751, 0.589, 0.442, 0.314, 0.21, 0.146]","[1.771, 1.556, 1.349, 1.153, 0.968, 0.983, 0.635, 0.491, 0.365, 0.262, 0.199]","[0.535, 0.593, 0.648, 0.7, 0.75, 0.796, 0.839, 0.877, 0.911, 0.938, 0.955]","[0.526, 0.58, 0.631, 0.68, 0.726, 0.721, 0.809, 0.845, 0.876, 0.902, 0.917]",0.002272,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The gap between the two splits stayed small throughout the run.,healthy,"Across 11 epochs, training loss decreased from 1.741 to 0.146 and validation loss decreased from 1.771 to 0.199. The final training and validation metrics remained close at 0.955 and 0.917.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_overfitting_045,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.572, 1.317, 1.076, 0.851, 0.643, 0.455, 0.291, 0.158, 0.077]","[1.677, 1.128, 0.683, 0.411, 0.549, 0.683, 0.812, 0.936, 1.043]","[0.522, 0.597, 0.667, 0.733, 0.794, 0.849, 0.897, 0.936, 0.959]","[0.512, 0.66, 0.78, 0.853, 0.816, 0.78, 0.746, 0.713, 0.684]",0.001909,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",The train-validation gap became larger near the end of the run.,overfitting,"After epoch 4, training continued improving to 0.077 loss, but validation loss moved in the opposite direction and finished at 1.043.",Restore the checkpoint from epoch 4 and test early stopping.
synthetic_v3_learning_rate_too_high_048,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.825, 2.816, 0.881, 3.295, 1.025, 2.586, 1.297, 2.975, 0.825, 2.522, 1.399]","[1.005, 2.967, 1.054, 3.429, 1.184, 2.781, 1.393, 3.115, 0.969, 2.608, 1.591]","[0.576, 0.287, 0.526, 0.366, 0.477, 0.304, 0.56, 0.223, 0.508, 0.308, 0.582]","[0.551, 0.265, 0.487, 0.329, 0.444, 0.286, 0.521, 0.184, 0.484, 0.294, 0.56]",0.225,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",No learning-rate scheduler was enabled.,learning_rate_too_high,"Training loss repeatedly jumped from 0.825 at epoch 1 to 2.816 at epoch 2 and from 0.881 at epoch 3 to 3.295 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_data_leakage_suspected_024,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.42, 0.313, 0.216, 0.132, 0.063, 0.022]","[0.38, 0.284, 0.197, 0.121, 0.059, 0.022]","[0.84, 0.882, 0.919, 0.952, 0.979, 0.995]","[0.88, 0.911, 0.939, 0.963, 0.983, 0.996]",0.001,"[1, 2, 3, 4, 5, 6]",A split audit found 346 identical samples in both the training and validation sets. Accuracy on a deduplicated holdout was 0.68.,data_leakage_suspected,"The split audit found 346 exact duplicates shared by the training and validation sets. Validation metric was 0.996, but the deduplicated holdout metric was 0.680.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
synthetic_v3_healthy_048,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.445, 1.275, 1.112, 0.958, 0.812, 0.676, 0.55, 0.436, 0.337, 0.256, 0.207]","[1.512, 1.339, 1.174, 1.016, 0.867, 0.882, 0.6, 0.483, 0.382, 0.3, 0.249]","[0.434, 0.507, 0.576, 0.642, 0.704, 0.763, 0.817, 0.865, 0.908, 0.942, 0.963]","[0.416, 0.486, 0.553, 0.616, 0.676, 0.671, 0.784, 0.831, 0.872, 0.905, 0.925]",0.002613,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",No learning-rate scheduler was enabled.,healthy,"Across 11 epochs, training loss decreased from 1.445 to 0.207 and validation loss decreased from 1.512 to 0.249. The final training and validation metrics remained close at 0.963 and 0.925.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_healthy_003,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,"[1.638, 1.36, 1.1, 0.86, 0.643, 0.454, 0.3, 0.206]","[1.756, 1.465, 1.193, 0.943, 0.958, 0.518, 0.357, 0.259]","[0.46, 0.557, 0.647, 0.731, 0.806, 0.872, 0.925, 0.958]","[0.441, 0.533, 0.619, 0.698, 0.693, 0.832, 0.883, 0.914]",0.001859,"[1, 2, 3, 4, 5, 6, 7, 8]",A second seed produced a similar smooth improvement on both splits.,healthy,"Across 8 epochs, training loss decreased from 1.638 to 0.206 and validation loss decreased from 1.756 to 0.259. The final training and validation metrics remained close at 0.958 and 0.914.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_overfitting_020,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.7, 1.505, 1.317, 1.138, 0.967, 0.806, 0.655, 0.516, 0.391, 0.281, 0.192, 0.137]","[1.754, 0.856, 0.308, 0.408, 0.506, 0.603, 0.699, 0.792, 0.883, 0.971, 1.055, 1.128]","[0.471, 0.534, 0.594, 0.652, 0.708, 0.76, 0.808, 0.853, 0.894, 0.93, 0.958, 0.976]","[0.461, 0.715, 0.87, 0.835, 0.8, 0.766, 0.732, 0.699, 0.667, 0.636, 0.607, 0.581]",0.00188,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",The run completed without hardware or logging errors.,overfitting,"Validation loss reached its lowest value of 0.308 at epoch 3, then increased to 1.128, while training loss continued decreasing to 0.137.",Stop training near epoch 3 and evaluate that checkpoint on a separate holdout.
synthetic_v3_learning_rate_too_high_030,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.802, 2.752, 1.054, 3.346, 0.916, 2.291, 0.971, 3.101, 1.241, 3.003, 0.973]","[0.915, 2.841, 1.158, 3.52, 1.066, 2.39, 1.071, 3.237, 1.37, 3.147, 1.169]","[0.481, 0.255, 0.49, 0.222, 0.474, 0.323, 0.574, 0.325, 0.456, 0.35, 0.499]","[0.468, 0.238, 0.469, 0.197, 0.444, 0.305, 0.534, 0.314, 0.434, 0.326, 0.467]",0.1125,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",The optimizer state was reset before training started.,learning_rate_too_high,"Training loss repeatedly jumped from 0.802 at epoch 1 to 2.752 at epoch 2 and from 1.054 at epoch 3 to 3.346 at epoch 4, with no stable downward trend.",Lower the learning rate by about 10x and run the same experiment again.
synthetic_v3_insufficient_evidence_036,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.356, 1.153, 0.97, 0.809, 0.679, 0.6]",[],"[0.48, 0.566, 0.644, 0.712, 0.767, 0.801]",[],0.001,"[1, 2, 3, 4, 5, 6]",The experiment used a fixed random seed.,insufficient_evidence,"Validation loss and validation metric are missing, so generalization cannot be compared with training performance.",Run the experiment again with validation loss and validation metric logging enabled.
synthetic_v3_insufficient_evidence_000,controlled_synthetic_v3,train,controlled_mlp,binary_classification,[1.669],[1.717],[0.695],[0.737],0.001,[1],The run completed without hardware or logging errors.,insufficient_evidence,"Only one epoch is available, so no training or validation trend can be established.",Continue training for more epochs and record both training and validation metrics.
synthetic_v3_learning_rate_too_low_031,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.839, 1.832, 1.825, 1.818, 1.811, 1.804, 1.797, 1.79, 1.783, 1.775, 1.768, 1.761, 1.754, 1.747]","[1.899, 1.893, 1.886, 1.88, 1.874, 1.868, 1.861, 1.855, 1.849, 1.842, 1.836, 1.83, 1.824, 1.817]","[0.343, 0.347, 0.35, 0.353, 0.357, 0.36, 0.364, 0.367, 0.371, 0.374, 0.378, 0.381, 0.385, 0.388]","[0.333, 0.336, 0.338, 0.341, 0.343, 0.346, 0.349, 0.351, 0.354, 0.357, 0.359, 0.362, 0.364, 0.367]",2.6e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",Parameter updates were very small and progress remained slow but stable.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 14 epochs training loss changed by just 0.092 and the metric changed by 0.045.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_learning_rate_too_low_034,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.506, 1.503, 1.499, 1.496, 1.492, 1.489, 1.485, 1.482, 1.478, 1.474, 1.471, 1.467, 1.464, 1.46, 1.457, 1.453]","[1.566, 1.563, 1.561, 1.558, 1.555, 1.552, 1.549, 1.546, 1.543, 1.54, 1.538, 1.535, 1.532, 1.529, 1.526, 1.523]","[0.331, 0.336, 0.341, 0.346, 0.351, 0.356, 0.361, 0.366, 0.371, 0.376, 0.381, 0.386, 0.391, 0.396, 0.401, 0.406]","[0.321, 0.326, 0.33, 0.334, 0.338, 0.343, 0.347, 0.351, 0.355, 0.36, 0.364, 0.368, 0.372, 0.377, 0.381, 0.385]",6.9e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",Data augmentation settings stayed unchanged during training.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 16 epochs training loss changed by just 0.053 and the metric changed by 0.075.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_overfitting_048,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.375, 1.225, 1.081, 0.943, 0.812, 0.689, 0.573, 0.466, 0.37, 0.286, 0.217, 0.175]","[1.41, 1.074, 0.78, 0.541, 0.396, 0.483, 0.568, 0.651, 0.732, 0.811, 0.886, 0.951]","[0.503, 0.561, 0.617, 0.671, 0.722, 0.77, 0.815, 0.856, 0.894, 0.927, 0.953, 0.97]","[0.493, 0.618, 0.727, 0.815, 0.869, 0.821, 0.774, 0.728, 0.683, 0.64, 0.599, 0.562]",0.000518,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",No learning-rate scheduler was enabled.,overfitting,"Validation loss reached its lowest value of 0.396 at epoch 5, then increased to 0.951, while training loss continued decreasing to 0.175.",Restore the checkpoint from epoch 5 and test early stopping.
synthetic_v3_underfitting_032,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.993, 1.872, 1.766, 1.676, 1.6, 1.538, 1.489, 1.452, 1.426, 1.41, 1.401, 1.4]","[2.02, 1.902, 1.8, 1.713, 1.64, 1.58, 1.532, 1.496, 1.471, 1.455, 1.448, 1.446]","[0.291, 0.322, 0.349, 0.372, 0.391, 0.407, 0.419, 0.429, 0.435, 0.439, 0.441, 0.442]","[0.277, 0.306, 0.332, 0.354, 0.373, 0.388, 0.4, 0.409, 0.416, 0.42, 0.421, 0.422]",0.000865,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Gradient clipping was enabled with the same limit in every epoch.,underfitting,"The model still performed poorly on its training data after 12 epochs, with a 0.442 training metric. Validation was similarly weak at 0.422.",Continue training and compare the result with a larger architecture using the same split.
synthetic_v3_data_leakage_suspected_018,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[0.42, 0.316, 0.223, 0.141, 0.074, 0.034]","[0.38, 0.286, 0.202, 0.128, 0.068, 0.031]","[0.84, 0.881, 0.917, 0.949, 0.975, 0.991]","[0.88, 0.912, 0.94, 0.965, 0.985, 0.998]",0.001,"[1, 2, 3, 4, 5, 6]",A split audit found 417 identical samples in both the training and validation sets. Accuracy on a deduplicated holdout was 0.68.,data_leakage_suspected,"The split audit found 417 exact duplicates shared by the training and validation sets. Validation metric was 0.998, but the deduplicated holdout metric was 0.680.","Create a new clean split before preprocessing, remove the leakage source, and evaluate the same configuration on an untouched holdout set."
synthetic_v3_overfitting_047,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.176, 1.013, 0.858, 0.712, 0.575, 0.449, 0.335, 0.235, 0.154, 0.105]","[1.216, 0.655, 0.313, 0.416, 0.518, 0.617, 0.714, 0.807, 0.896, 0.974]","[0.454, 0.533, 0.608, 0.679, 0.746, 0.807, 0.862, 0.91, 0.95, 0.974]","[0.444, 0.674, 0.814, 0.779, 0.744, 0.71, 0.677, 0.645, 0.614, 0.588]",0.001961,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",No early stopping was used after the validation score peaked.,overfitting,"Validation performance was best at epoch 3 and became worse afterward, even though training loss kept falling to 0.105.",Stop training near epoch 3 and evaluate that checkpoint on a separate holdout.
synthetic_v3_learning_rate_too_low_011,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[1.859, 1.855, 1.85, 1.845, 1.84, 1.835, 1.831, 1.826, 1.821, 1.816, 1.811, 1.807, 1.802, 1.797, 1.792, 1.787]","[1.919, 1.915, 1.911, 1.907, 1.903, 1.899, 1.895, 1.89, 1.886, 1.882, 1.878, 1.874, 1.87, 1.866, 1.861, 1.857]","[0.305, 0.31, 0.315, 0.32, 0.325, 0.33, 0.334, 0.339, 0.344, 0.349, 0.354, 0.359, 0.364, 0.369, 0.374, 0.379]","[0.295, 0.299, 0.304, 0.308, 0.313, 0.317, 0.321, 0.326, 0.33, 0.335, 0.339, 0.344, 0.348, 0.352, 0.357, 0.361]",8.2e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",Parameter updates were very small and progress remained slow but stable.,learning_rate_too_low,"Despite 16 stable epochs, training loss only moved from 1.859 to 1.787, leaving performance poor within the available budget.",Raise the learning rate and compare how much progress is made in the same epoch budget.
synthetic_v3_insufficient_evidence_013,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.109, 0.906, 0.749, 0.638, 0.555]","[1.174, 0.975, 0.787, 0.691, 0.611]","[0.597, 0.557, 0.517, 0.477, 0.437]","[0.571, 0.54, 0.494, 0.457, 0.412]",0.001,"[1, 2, 3, 4, 5]",Loss improved while the recorded accuracy moved in the opposite direction.,insufficient_evidence,"The losses improve but both recorded metrics become worse, so the logs are contradictory and may use an unknown metric direction or contain a logging error.","Verify the metric definition and logging code, then repeat the run before diagnosing it."
synthetic_v3_overfitting_044,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.339, 1.147, 0.964, 0.791, 0.63, 0.481, 0.346, 0.229, 0.133, 0.075]","[1.38, 0.815, 0.47, 0.549, 0.627, 0.703, 0.778, 0.849, 0.918, 0.977]","[0.499, 0.572, 0.641, 0.706, 0.767, 0.823, 0.873, 0.918, 0.954, 0.976]","[0.489, 0.702, 0.832, 0.789, 0.746, 0.704, 0.663, 0.624, 0.586, 0.554]",0.002424,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",Metrics were recorded once at the end of every epoch.,overfitting,"Validation loss reached its lowest value of 0.470 at epoch 3, then increased to 0.977, while training loss continued decreasing to 0.075.",Stop training near epoch 3 and evaluate that checkpoint on a separate holdout.
synthetic_v3_overfitting_013,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.518, 1.337, 1.163, 0.996, 0.838, 0.688, 0.548, 0.419, 0.302, 0.2, 0.117, 0.066]","[1.626, 1.219, 0.863, 0.574, 0.398, 0.521, 0.642, 0.76, 0.876, 0.988, 1.094, 1.186]","[0.486, 0.546, 0.604, 0.66, 0.712, 0.762, 0.809, 0.852, 0.89, 0.924, 0.952, 0.969]","[0.476, 0.588, 0.685, 0.764, 0.813, 0.777, 0.741, 0.707, 0.673, 0.64, 0.609, 0.581]",0.000439,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Training kept improving after validation had started getting worse.,overfitting,"After epoch 5, training continued improving to 0.066 loss, but validation loss moved in the opposite direction and finished at 1.186.",Use epoch 5 as the early-stopping point and compare it with the final checkpoint.
synthetic_v3_insufficient_evidence_012,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.124, 0.756]","[1.159, 0.777]",[],[],0.001,"[1, 2]",Gradient clipping was enabled with the same limit in every epoch.,insufficient_evidence,"Only two epochs are available and both training and validation metrics are missing, so the early loss decrease does not support a specific diagnosis.",Collect more epochs and record training and validation metrics before diagnosing the run again.
synthetic_v3_data_leakage_suspected_014,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[0.42, 0.314, 0.218, 0.134, 0.066, 0.024]","[0.38, 0.284, 0.198, 0.122, 0.06, 0.023]","[0.84, 0.88, 0.916, 0.948, 0.973, 0.989]","[0.88, 0.91, 0.937, 0.961, 0.981, 0.992]",0.001,"[1, 2, 3, 4, 5, 6]",A feature audit found that the input column named target_copy exactly matched the target for every training and validation sample. Clean holdout metric was 0.61.,data_leakage_suspected,"The target_copy input feature directly revealed the target in both splits. Validation metric was 0.992, but it fell to 0.610 after removing that feature on a clean holdout.","Remove the overlap, retrain from scratch, and verify the result on a clean holdout."
synthetic_v3_healthy_020,controlled_synthetic_v3,train,controlled_cnn,image_classification,"[1.259, 1.13, 1.005, 0.887, 0.774, 0.667, 0.567, 0.475, 0.392, 0.319, 0.26, 0.224]","[1.338, 1.202, 1.072, 0.948, 0.83, 0.718, 0.614, 0.518, 0.43, 0.354, 0.293, 0.255]","[0.369, 0.442, 0.512, 0.579, 0.643, 0.703, 0.759, 0.811, 0.858, 0.899, 0.932, 0.953]","[0.362, 0.432, 0.5, 0.565, 0.627, 0.685, 0.739, 0.79, 0.835, 0.875, 0.907, 0.927]",0.0016,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",The run completed without hardware or logging errors.,healthy,"Training and validation followed the same improving trend: losses ended at 0.224 and 0.255, while their metrics reached 0.953 and 0.927.",Repeat the experiment once more to confirm that the stable result is reproducible.
synthetic_v3_healthy_042,controlled_synthetic_v3,train,controlled_mlp,binary_classification,"[1.604, 1.357, 1.124, 0.906, 0.705, 0.523, 0.364, 0.235, 0.156]","[1.652, 1.402, 1.166, 0.946, 0.961, 0.558, 0.398, 0.267, 0.187]","[0.399, 0.49, 0.576, 0.657, 0.731, 0.798, 0.857, 0.904, 0.933]","[0.374, 0.467, 0.555, 0.637, 0.632, 0.782, 0.842, 0.89, 0.92]",0.001419,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",Batch size and optimizer settings stayed fixed during the run.,healthy,"Across 9 epochs, training loss decreased from 1.604 to 0.156 and validation loss decreased from 1.652 to 0.187. The final training and validation metrics remained close at 0.933 and 0.920.",Repeat the run with another random seed to check that the result is reproducible.
synthetic_v3_insufficient_evidence_015,controlled_synthetic_v3,train,controlled_tabular_net,binary_classification,[1.608],[1.625],[0.589],[0.596],0.001,[1],Only one epoch was recorded.,insufficient_evidence,"Only one epoch is available, so no training or validation trend can be established.",Continue training for more epochs and record both training and validation metrics.
synthetic_v3_healthy_013,controlled_synthetic_v3,train,controlled_mlp,multiclass_classification,"[1.727, 1.503, 1.29, 1.089, 0.9, 0.727, 0.57, 0.433, 0.321, 0.253]","[1.785, 1.557, 1.34, 1.136, 0.944, 0.768, 0.608, 0.469, 0.356, 0.286]","[0.526, 0.593, 0.656, 0.716, 0.773, 0.825, 0.872, 0.913, 0.946, 0.966]","[0.523, 0.586, 0.646, 0.702, 0.755, 0.804, 0.848, 0.886, 0.917, 0.937]",0.000487,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",A second seed produced a similar smooth improvement on both splits.,healthy,"Both splits improved over 10 epochs. Final losses were 0.253 for training and 0.286 for validation, with final metrics of 0.966 and 0.937.",Run the same configuration with a second seed and compare the final metrics.
synthetic_v3_healthy_028,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.734, 1.444, 1.172, 0.922, 0.695, 0.498, 0.337, 0.239]","[1.778, 1.488, 1.217, 0.968, 0.742, 0.544, 0.384, 0.286]","[0.392, 0.495, 0.592, 0.681, 0.762, 0.832, 0.889, 0.924]","[0.371, 0.47, 0.562, 0.648, 0.725, 0.792, 0.847, 0.88]",0.001665,"[1, 2, 3, 4, 5, 6, 7, 8]",No learning-rate scheduler was enabled.,healthy,"Both splits improved over 8 epochs. Final losses were 0.239 for training and 0.286 for validation, with final metrics of 0.924 and 0.880.",Run the same configuration with a second seed and compare the final metrics.
synthetic_v3_learning_rate_too_low_016,controlled_synthetic_v3,train,controlled_encoder,text_classification,"[1.723, 1.714, 1.704, 1.694, 1.685, 1.675, 1.666, 1.656, 1.646, 1.637, 1.627, 1.618, 1.608, 1.598, 1.589]","[1.783, 1.774, 1.765, 1.757, 1.748, 1.739, 1.73, 1.721, 1.712, 1.703, 1.694, 1.685, 1.676, 1.668, 1.659]","[0.39, 0.392, 0.395, 0.398, 0.4, 0.403, 0.406, 0.408, 0.411, 0.414, 0.417, 0.419, 0.422, 0.425, 0.427]","[0.38, 0.382, 0.384, 0.386, 0.388, 0.39, 0.392, 0.394, 0.396, 0.398, 0.4, 0.402, 0.404, 0.406, 0.408]",4e-06,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",The experiment used a fixed random seed.,learning_rate_too_low,The curves moved in the right direction but very slowly: over 15 epochs training loss changed by just 0.134 and the metric changed by 0.037.,Try a learning rate ten times larger while keeping the other settings fixed.
synthetic_v3_underfitting_017,controlled_synthetic_v3,train,controlled_sequence_net,sequence_classification,"[2.262, 2.092, 1.944, 1.817, 1.711, 1.624, 1.555, 1.503, 1.466, 1.443, 1.432, 1.43]","[2.327, 2.159, 2.013, 1.888, 1.783, 1.697, 1.628, 1.577, 1.541, 1.518, 1.507, 1.504]","[0.331, 0.373, 0.409, 0.439, 0.465, 0.486, 0.503, 0.516, 0.525, 0.53, 0.533, 0.534]","[0.318, 0.36, 0.395, 0.426, 0.452, 0.473, 0.489, 0.502, 0.511, 0.516, 0.519, 0.519]",0.000671,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",Training and validation remained close but both results were weak.,underfitting,"The model still performed poorly on its training data after 12 epochs, with a 0.534 training metric. Validation was similarly weak at 0.519.",Continue training and compare the result with a larger architecture using the same split.
